state,street_count,president_surname
illinois,367,Adams
texas,277,Adams
pennsylvania,240,Adams
michigan,231,Adams
georgia,223,Adams
california,221,Adams
new-york,201,Adams
massachusetts,200,Adams
indiana,186,Adams
ohio,183,Adams
florida,181,Adams
kentucky,172,Adams
north-carolina,164,Adams
iowa,160,Adams
wisconsin,149,Adams
missouri,147,Adams
new-jersey,145,Adams
alabama,143,Adams
tennessee,142,Adams
mississippi,131,Adams
washington,115,Adams
arkansas,114,Adams
virginia,113,Adams
south-carolina,107,Adams
kansas,101,Adams
louisiana,97,Adams
oklahoma,94,Adams
colorado,89,Adams
oregon,86,Adams
minnesota,76,Adams
nebraska,71,Adams
maine,66,Adams
maryland,57,Adams
arizona,57,Adams
idaho,51,Adams
new-hampshire,49,Adams
west-virginia,48,Adams
connecticut,41,Adams
vermont,40,Adams
new-mexico,34,Adams
montana,33,Adams
utah,31,Adams
south-dakota,25,Adams
nevada,24,Adams
wyoming,22,Adams
delaware,19,Adams
rhode-island,18,Adams
north-dakota,12,Adams
alaska,11,Adams
district-of-columbia,3,Adams
hawaii,1,Adams
texas,141,Arthur
north-carolina,122,Arthur
california,117,Arthur
new-york,113,Arthur
illinois,106,Arthur
michigan,98,Arthur
florida,97,Arthur
georgia,89,Arthur
massachusetts,87,Arthur
louisiana,80,Arthur
ohio,73,Arthur
pennsylvania,72,Arthur
indiana,70,Arthur
new-jersey,67,Arthur
wisconsin,67,Arthur
kentucky,56,Arthur
south-carolina,53,Arthur
tennessee,52,Arthur
virginia,52,Arthur
missouri,51,Arthur
alabama,37,Arthur
arkansas,37,Arthur
iowa,35,Arthur
mississippi,34,Arthur
minnesota,33,Arthur
oregon,33,Arthur
maryland,31,Arthur
washington,31,Arthur
connecticut,22,Arthur
kansas,20,Arthur
colorado,20,Arthur
nebraska,18,Arthur
oklahoma,16,Arthur
idaho,15,Arthur
west-virginia,15,Arthur
new-hampshire,14,Arthur
south-dakota,14,Arthur
arizona,13,Arthur
nevada,13,Arthur
rhode-island,13,Arthur
maine,12,Arthur
new-mexico,8,Arthur
utah,7,Arthur
montana,6,Arthur
vermont,6,Arthur
wyoming,5,Arthur
alaska,5,Arthur
north-dakota,5,Arthur
delaware,4,Arthur
pennsylvania,2,Biden
north-carolina,1,Biden
delaware,1,Biden
new-jersey,1,Biden
colorado,1,Biden
texas,85,Buchanan
california,67,Buchanan
iowa,53,Buchanan
michigan,52,Buchanan
illinois,51,Buchanan
north-carolina,50,Buchanan
pennsylvania,49,Buchanan
tennessee,44,Buchanan
missouri,40,Buchanan
virginia,39,Buchanan
minnesota,36,Buchanan
georgia,35,Buchanan
colorado,32,Buchanan
new-york,30,Buchanan
florida,29,Buchanan
wisconsin,27,Buchanan
indiana,24,Buchanan
new-jersey,23,Buchanan
mississippi,22,Buchanan
oklahoma,21,Buchanan
ohio,19,Buchanan
louisiana,17,Buchanan
kentucky,17,Buchanan
arizona,15,Buchanan
washington,15,Buchanan
south-carolina,15,Buchanan
arkansas,13,Buchanan
oregon,13,Buchanan
alabama,12,Buchanan
maryland,11,Buchanan
kansas,10,Buchanan
idaho,10,Buchanan
massachusetts,9,Buchanan
new-mexico,8,Buchanan
west-virginia,6,Buchanan
nevada,6,Buchanan
south-dakota,5,Buchanan
montana,5,Buchanan
utah,4,Buchanan
nebraska,4,Buchanan
rhode-island,3,Buchanan
district-of-columbia,3,Buchanan
north-dakota,2,Buchanan
new-hampshire,2,Buchanan
maine,2,Buchanan
wyoming,2,Buchanan
vermont,2,Buchanan
connecticut,2,Buchanan
alaska,1,Buchanan
delaware,1,Buchanan
texas,132,Bush
california,132,Bush
new-york,102,Bush
georgia,79,Bush
michigan,77,Bush
florida,73,Bush
south-carolina,68,Bush
north-carolina,64,Bush
pennsylvania,62,Bush
virginia,59,Bush
illinois,45,Bush
maryland,44,Bush
kentucky,43,Bush
tennessee,43,Bush
wisconsin,43,Bush
alabama,43,Bush
ohio,43,Bush
arizona,38,Bush
mississippi,37,Bush
new-jersey,31,Bush
minnesota,31,Bush
indiana,30,Bush
missouri,28,Bush
louisiana,24,Bush
