president_surname,street_count
Washington,9958
Jackson,8010
Lincoln,7771
Johnson,7239
Wilson,6703
Jefferson,6270
Taylor,6052
Adams,5939
Madison,5857
Grant,5051
Harrison,3844
Monroe,3843
Ford,3283
Carter,2860
Roosevelt,2839
Kennedy,2411
Cleveland,2314
Arthur,2290
Garfield,2180
Tyler,2122
Clinton,2072
Pierce,1863
Bush,1754
Hayes,1752
Polk,1694
McKinley,1604
Harding,1317
Van Buren,1170
Buchanan,1105
Hoover,1067
Taft,1045
Coolidge,839
Truman,808
Eisenhower,697
Fillmore,667
Nixon,476
Reagan,456
Trump,79
Obama,11
Biden,7
