state,word,tfidf_score,word_count,num_streets_with_word
alabama,old,5211.624952706603,975,28827
alabama,loop,5189.017769581443,930,22805
alabama,lauderdale,4711.033432998125,514,632
alabama,cherokee,4397.325493870024,534,1603
alabama,lake,4023.936400297155,765,31391
alaska,loop,2326.688612812324,417,22805
alaska,lake,1251.8913245368926,238,31391
alaska,access,852.6513686836668,106,1940
alaska,view,830.6918754509664,147,21234
alaska,bay,647.7845565318012,100,9288
arizona,calle,10487.851305939115,1518,6035
arizona,forest,7641.354800381232,1292,16317
arizona,de,6713.35769451831,965,5753
arizona,del,6672.505685343957,939,4956
arizona,camino,6536.35855425931,867,3214
arkansas,cove,9641.238832848641,1809,29282
arkansas,rd,8709.230537636031,1208,4468
arkansas,loop,4954.675031600345,888,22805
arkansas,craighead,4785.431235017867,513,537
arkansas,bradley,3962.613923315293,465,1203
california,via,24681.459468572026,3578,6101
california,calle,15586.688106850226,2256,6035
california,la,14636.258931674229,2156,6807
california,vista,13090.46529959205,2033,9656
california,terrace,11988.94301319211,2308,33517
colorado,point,4132.19936208848,731,21195
colorado,view,4046.09103961151,716,21234
colorado,mountain,3490.842956241426,562,12123
colorado,peak,2761.7632170139573,362,2937
colorado,parkway,2669.9832299806794,441,14185
connecticut,terrace,3511.4928409522818,676,33517
connecticut,old,3020.0698443889546,565,28827
connecticut,brook,2229.108996097003,340,8588
connecticut,extension,1954.3182779152382,247,2213
connecticut,farm,1571.566275156003,256,13035
delaware,cove,1092.5671424731738,205,29282
delaware,run,927.475701437557,156,15819
delaware,mill,845.3324920017353,136,12072
delaware,old,684.1928143040464,128,28827
delaware,branch,677.1893023396256,103,8431
district-of-columbia,terrace,348.0325744730812,67,33517
district-of-columbia,parkway,139.25082605341413,23,14185
district-of-columbia,fort,120.23887139057665,15,1995
district-of-columbia,capitol,115.56465369610257,12,397
district-of-columbia,memorial,104.77986044460988,13,1909
florida,terrace,35707.10323773075,6874,33517
florida,lake,18331.26582357593,3485,31391
florida,loop,15366.18810476053,2754,22805
florida,point,13470.63075219815,2383,21195
florida,cove,10259.471947613949,1925,29282
georgia,old,10546.190801733464,1973,28827
georgia,trace,9932.515279364132,1437,6017
georgia,mill,9690.245257578716,1559,12072
georgia,lake,9378.66483886252,1783,31391
georgia,cove,7541.378080973371,1415,29282
hawaii,loop,1523.2277968771332,273,22805
hawaii,ala,1326.297222843785,125,149
hawaii,kai,465.4174126778314,41,71
hawaii,puu,460.4988023580913,39,45
hawaii,nani,337.6513287617771,28,35
idaho,national,3545.5850932625463,457,2581
idaho,development,3517.3831201965745,426,1568
idaho,forest,3400.7577478476846,575,16317
idaho,loop,3213.8432637407645,576,22805
idaho,river,1850.448945710158,306,14287
illinois,lake,4134.397399520998,786,31391
illinois,e,3570.6973019691654,457,2443
illinois,n,3544.421991628912,435,1748
illinois,parkway,3463.1075001109944,572,14185
illinois,terrace,3386.824456066402,652,33517
indiana,lake,6532.979096953028,1242,31391
indiana,ems,4211.461602114026,444,459
indiana,run,3650.449235145256,614,15819
indiana,old,3351.475738817477,627,28827
indiana,cove,3037.8696156571177,570,29282
